Total Mass, Surface Temperature, Total Cost, Operation Time, Computation Ability, Durability, Market Advantage
1.2451, 397.3225, 6048.0903, -0.0154, -263.1515, -1.6412, -16.0000
0.1119, 25.0003, 81.3984, -1.0004, -0.0010, -0.6346, -100.0000
0.0039, 25.0033, 0.3655, -220.5733, -0.0010, -0.0030, -20.0000
0.1429, 25.2682, 6181.6367, -3073.9082, -0.0010, -0.2414, -100.0000
0.8307, 25.0018, 1062.3293, -3302.3137, -0.0014, -1.5015, -100.0000
0.2228, 179171.1793, 6839.9494, -0.0080, -606.9583, -0.2656, -100.0000
0.1049, 140490.5544, 21.1416, -0.0054, -569.9413, -0.2218, -100.0000
0.4230, 412863.3137, 5155.3326, -0.0002, -1000.0000, -0.4748, -100.0000
0.3446, 193532.4778, 8121.3355, -0.0084, -580.8231, -0.2998, -100.0000
0.2601, 607.1000, 5257.7877, -0.0086, -573.5522, -1.1773, -100.0000
1.8138, 25.0015, 1950.7091, -104.7027, -0.0010, -1.7946, -50.0000
0.7295, 444.6229, 448.5035, -0.0000, -925.3593, -0.9296, -50.0000
0.7971, 134.1180, 5953.2712, -0.0144, -84.2881, -1.5017, -100.0000
0.5375, 294282.8087, 5162.4941, -0.0018, -676.9409, -0.4999, -12.0000
0.2716, 67.7961, 259.0762, -0.0013, -116.8577, -0.7508, -100.0000
0.9967, 512.4545, 5532.5702, -0.0000, -999.9154, -0.9994, -10.0000
0.2957, 53687.3442, 68.0722, -0.0295, -168.1536, -0.2872, -100.0000
0.3382, 185.1251, 285.5248, -0.0028, -145.5779, -1.2759, -20.0000
2.7837, 618.0466, 8327.1485, -0.0130, -348.7677, -1.9725, -100.0000
2.9211, 25.0017, 3126.2093, -1675.1720, -0.0010, -1.9999, -100.0000
0.0837, 60427.3611, 5363.8398, -0.0173, -283.6519, -0.1917, -100.0000
2.5312, 821.5693, 2721.5826, -0.0005, -477.2395, -1.9362, -50.0000
2.0109, 25.0018, 6703.3378, -977.6893, -0.0012, -1.8346, -12.0000
0.3163, 35752.8070, 83.1304, -0.0515, -95.8781, -0.4285, -10.0000
0.1642, 278721.4331, 5039.1783, -0.0054, -889.7260, -0.3602, -33.0000
0.0528, 76712.9621, 5016.0706, -0.0000, -283.5733, -0.3110, -10.0000
